url,title,score,posterImagePath,certification,overview,tagline,genres,trailerUrl,language
https://www.themoviedb.org/tv/44217,"Huyền Thoại Vikings
(2013)",79.0,poster_final/44217.jpg,14+,"Người Viking đưa chúng ta đến thế giới tàn khốc và bí ẩn của Ragnar Lothbrok, một chiến binh và nông dân Viking khao khát khám phá - và đột kích - bờ biển xa xôi trên đại dương.",,"Action & Adventure, Phim Chính Kịch",,vi
https://www.themoviedb.org/tv/82856,"The Mandalorian
(2019)",85.0,poster_final/82856.jpg,TV-14,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",Bounty hunting is a complicated profession.,"Sci-Fi & Fantasy, Action & Adventure",,en
https://www.themoviedb.org/tv/77169,"Cobra Kai
(2018)",81.0,poster_final/77169.jpg,TV-14,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",Cobra Kai never dies.,"Action & Adventure, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/75006,"Học Viện Umbrella
(2019)",87.0,poster_final/75006.jpg,TV-MA,"Được đưa về quá khứ những năm 1960 tại Dallas, những người anh chị em bị li tán xây dựng cuộc sống mới – cho đến khi một mối đe dọa tận thế mới đưa họ trở lại bên nhau.",Super. Dysfunctional. Family.,"Action & Adventure, Sci-Fi & Fantasy, Phim Chính Kịch",,vi
https://www.themoviedb.org/tv/71712,"Bác Sĩ Thiên Tài
(2017)",86.0,poster_final/71712.jpg,TV-14,Một bác sĩ trẻ mắc hội chứng bác học được nhận vào khoa phẫu thuật tim của một bệnh viện danh tiếng. Liệu một người bị tự kỷ có thể cứu người? Phim dựa trên series cùng tên của Hàn Quốc.,"His mind is a mystery, his methods are a miracle.",Phim Chính Kịch,,vi
https://www.themoviedb.org/tv/1416,"Grey's Anatomy
(2005)",81.0,poster_final/1416.jpg,TV-14,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,The life you save may be your own.,Phim Chính Kịch,,en
https://www.themoviedb.org/tv/79242,"Chilling Adventures of Sabrina
(2018)",84.0,poster_final/79242.jpg,TV-14,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.",High School is such a witch.,"Phim Bí Ẩn, Sci-Fi & Fantasy, Phim Chính Kịch",,en
https://www.themoviedb.org/tv/96648,"Thế Giới Ma Quái
(2020)",85.0,poster_final/96648.jpg,19,"Khi con người biến thành quái vật man rợ gieo rắc kinh hoàng, một thiếu niên trăn trở và hàng xóm ở căn hộ của cậu phải chiến đấu để sinh tồn – và giữ lấy nhân tính.",Chết như 1 Con Người hay sống như Quái Vật.,"Phim Chính Kịch, Sci-Fi & Fantasy",,vi
https://www.themoviedb.org/tv/69050,"Thị trấn Riverdale
(2017)",86.0,poster_final/69050.jpg,TV-14,"Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of real small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.",Small town. Big secrets.,"Phim Chính Kịch, Phim Bí Ẩn",,en
https://www.themoviedb.org/tv/63174,"Chúa Tể Địa Ngục
(2016)",85.0,poster_final/63174.jpg,TV-14,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",It's good to be bad.,"Phim Hình Sự, Sci-Fi & Fantasy",,en
